,历史持仓,股票代码,市场,持仓价格,持仓股数,平仓日期,状态,持仓总股数,开仓日期,平仓价格,持股天数,盈利次数,亏损次数,盈利,亏损,收益率%
0,000002,000002,1,19.48,0,20220224,已平仓,2000,20220221,18.67,3,0,1,0.0,-810.0,-4.16
1,000002,000002,1,16.43,0,20220418,已平仓,2000,20220318,19.32,31,1,0,2890.0,0.0,17.59
2,000002,000002,1,15.56,0,20220829,已平仓,2000,20220816,15.57,13,1,0,10.0,0.0,0.06
3,000002,000002,1,16.63,0,20220921,已平仓,2000,20220831,17.56,21,1,0,930.0,0.0,5.59
4,000002,000002,1,15.76,0,20221214,已平仓,2000,20221111,19.25,33,1,0,3490.0,0.0,22.14
5,000002,000002,1,17.63,0,20230228,已平仓,2000,20230221,17.14,7,0,1,0.0,-490.0,-2.78
