,name,code,price,last,open,buy_1,buy_1_v,buy_2,buy_2_v,buy_3,buy_3_v,buy_4,buy_4_v,buy_5,buy_5_v,sell_1,sell_1_v,sell_2,sell_2_v,sell_3,sell_3_v,sell_4,sell_4_v,sell_5,sell_5_v,lastdate,lasttime,vol,amount,high,low,ampl,flow,pbr,per,total,tr,market,symbol
0,万  科Ａ,sz000002,17.22,17.23,369424.0,17.18,1542.0,17.17,1460.0,17.16,3292.0,17.15,3637.0,17.14,544.0,17.19,407.0,17.2,1219.0,17.21,561.0,17.22,618.0,17.23,1335.0,2023-02-27,15:29:24,369424.0,63767.0,17.4,17.16,1.39,199953677024,0.87,11.72,200189101803.6,0.0,1,000002
1,浦发银行,sh600000,7.18,7.16,158006.0,7.16,4.0,7.15,9876.0,7.14,6525.0,7.13,4703.0,7.12,2781.0,7.17,6966.0,7.18,1164.0,7.19,3058.0,7.2,7158.0,7.21,1544.0,2023-02-27,15:29:06,158006.0,11336.0,7.2,7.16,0.56,210748610541,,,210748610540.6,0.0,0,600000
