,历史持仓,股票代码,市场,持仓价格,持仓股数,平仓日期,状态,持仓总股数,开仓日期,平仓价格,持股天数,盈利次数,亏损次数,盈利,亏损,收益率%
0,000001,000001,1,17.03,0,20220127,已平仓,2000,20220120,16.01,7,0,1,0.0,-1020.0,-5.99
1,000001,000001,1,16.8,0,20220215,已平仓,2000,20220211,15.99,4,0,1,0.0,-810.0,-4.82
2,000001,000001,1,14.64,0,20220412,已平仓,2000,20220311,15.64,32,1,0,1000.0,0.0,6.83
3,000001,000001,1,14.1,0,20220706,已平仓,2000,20220609,14.28,27,1,0,180.0,0.0,1.28
4,000001,000001,1,12.4,0,20220829,已平仓,2000,20220817,12.42,12,1,0,20.0,0.0,0.16
5,000001,000001,1,12.75,0,20220907,已平仓,2000,20220831,12.33,7,0,1,0.0,-420.0,-3.29
6,000001,000001,1,12.72,0,20220920,已平仓,2000,20220909,12.34,11,0,1,0.0,-380.0,-2.99
7,000001,000001,1,10.82,0,20221121,已平仓,2000,20221104,11.46,17,1,0,640.0,0.0,5.91
8,000001,000001,1,14.15,0,20230306,已平仓,2000,20230220,13.85,14,0,1,0.0,-300.0,-2.12
